Date,Open,High,Low,Close,Adj Close,Volume
2014-06-02,143.080002,144.020004,141.970001,142.559998,126.838074,306600
2014-06-03,142.190002,143.740005,141.720001,142.240005,126.55338300000001,174800
2014-06-04,141.46000700000002,141.75,140.149994,140.639999,125.129852,300800
2014-06-05,141.050003,142.270004,140.570007,141.399994,125.80600700000001,210500
2014-06-06,141.779999,143.46000700000002,141.479996,143.169998,127.380829,289800
2014-06-09,143.03999299999998,143.809998,141.860001,142.53999299999998,126.820282,209500
2014-06-10,142.369995,142.690002,140.699997,141.08999599999999,125.530197,200000
2014-06-11,140.600006,141.119995,138.649994,138.78999299999998,123.483856,216300
2014-06-12,138.16000400000001,140.229996,136.75,140.08999599999999,124.64048000000001,416900
2014-06-13,140.940002,141.770004,139.259995,140.130005,124.676102,254600
2014-06-16,140.0,140.66000400000001,138.149994,138.610001,123.323723,305900
2014-06-17,138.679993,140.16000400000001,138.149994,139.46000700000002,124.07996399999999,173700
2014-06-18,139.470001,143.070007,138.899994,143.0,127.229576,237800
2014-06-19,143.059998,144.820007,142.759995,143.679993,127.83456399999999,309700
2014-06-20,144.600006,144.639999,141.029999,143.110001,127.327446,257900
2014-06-23,143.41000400000001,144.470001,140.830002,142.110001,126.43771399999999,295500
2014-06-24,141.820007,143.080002,141.33999599999999,142.21000700000002,126.526703,223700
2014-06-25,141.550003,143.699997,141.0,143.360001,127.54985,143800
2014-06-26,143.130005,144.259995,140.929993,142.449997,126.740219,161600
2014-06-27,141.800003,142.990005,141.21000700000002,142.990005,127.220665,442400
2014-06-30,143.020004,143.729996,141.0,142.570007,126.847008,195800
2014-07-01,143.169998,144.75,142.509995,144.050003,128.16378799999998,188300
2014-07-02,143.309998,144.990005,142.220001,144.619995,128.67091399999998,292600
2014-07-03,144.690002,145.899994,144.399994,145.199997,129.186951,217700
2014-07-07,145.580002,145.880005,143.770004,144.53999299999998,128.599701,234800
2014-07-08,144.0,145.91000400000001,141.71000700000002,144.020004,128.137085,240300
2014-07-09,144.020004,144.830002,142.729996,144.050003,128.16378799999998,195000
2014-07-10,143.0,144.5,142.53999299999998,144.479996,128.546356,219100
2014-07-11,144.520004,144.600006,143.020004,144.21000700000002,128.306152,215100
2014-07-14,144.940002,145.58999599999999,143.580002,145.529999,129.48056,171400
2014-07-15,146.199997,151.949997,145.139999,150.119995,133.564377,657800
2014-07-16,150.279999,152.5,149.669998,152.309998,135.512833,440800
2014-07-17,151.770004,154.41000400000001,150.690002,152.880005,136.01998899999998,615100
2014-07-18,152.630005,154.550003,152.630005,154.259995,137.24778700000002,349600
2014-07-21,154.740005,155.809998,153.690002,155.190002,138.07522600000001,370000
2014-07-22,156.03999299999998,156.41000400000001,155.229996,156.110001,138.893768,240700
2014-07-23,156.240005,157.639999,155.899994,156.770004,139.48100300000002,286100
2014-07-24,157.0,157.820007,155.490005,156.220001,138.991653,323300
2014-07-25,156.16000400000001,157.979996,155.21000700000002,155.669998,138.502274,245000
2014-07-28,155.860001,156.139999,154.169998,154.350006,137.327866,383400
2014-07-29,154.580002,155.360001,153.16000400000001,153.600006,136.66056799999998,312300
2014-07-30,154.059998,154.5,152.639999,153.41000400000001,136.491531,283900
2014-07-31,152.0,153.429993,151.699997,151.869995,135.12133799999998,299200
2014-08-01,151.03999299999998,153.419998,150.550003,152.520004,135.699692,227400
2014-08-04,152.619995,153.71000700000002,150.820007,151.029999,134.374023,266800
2014-08-05,151.149994,152.759995,150.529999,151.369995,134.676498,333400
2014-08-06,150.699997,151.440002,148.679993,150.919998,134.27612299999998,326300
2014-08-07,133.679993,135.649994,126.0,127.360001,113.314392,2850700
2014-08-08,129.100006,133.71000700000002,128.78999299999998,133.600006,118.86624099999999,1394000
2014-08-11,134.16000400000001,134.96000700000002,127.190002,127.769997,113.679184,661000
2014-08-12,128.0,128.699997,126.010002,126.610001,112.64708700000001,719100
2014-08-13,126.610001,126.93,123.230003,124.050003,110.36943799999999,821900
2014-08-14,124.760002,127.129997,124.16999799999999,125.690002,111.828575,745900
2014-08-15,126.5,126.5,124.550003,125.379997,111.55275,428000
2014-08-18,126.099998,129.639999,125.910004,129.53999299999998,115.253975,565900
2014-08-19,129.949997,130.570007,128.149994,128.369995,114.212997,459200
2014-08-20,128.149994,128.800003,126.75,128.220001,114.079536,374500
2014-08-21,128.720001,129.53999299999998,127.279999,127.480003,113.421173,335800
2014-08-22,127.83000200000001,128.25,127.18,127.440002,113.385582,340400
2014-08-25,127.839996,128.25,125.699997,125.959999,112.068779,460300
2014-08-26,126.279999,126.5,124.410004,124.839996,111.072296,623200
2014-08-27,123.779999,125.25,123.769997,124.599998,111.717873,630200
