Date,Open,High,Low,Close,Adj Close,Volume
2014-06-02,44.490002000000004,46.82,44.369999,46.700001,46.700001,7957600
2014-06-03,46.630001,47.75,46.5,47.509997999999996,47.509997999999996,7507000
2014-06-04,47.400002,48.060001,46.279999,46.869999,46.869999,10944600
2014-06-05,46.93,47.689999,46.830002,47.0,47.0,4454800
2014-06-06,47.25,48.130001,47.150002,48.049999,48.049999,4178200
2014-06-09,47.599998,48.130001,46.18,46.380001,46.380001,7622000
2014-06-10,46.259997999999996,47.900002,45.5,47.759997999999996,47.759997999999996,6683600
2014-06-11,46.990002000000004,47.27,44.919998,45.259997999999996,45.259997999999996,9453100
2014-06-12,44.02,44.130001,41.599998,42.599998,42.599998,17072500
2014-06-13,42.650002,43.369999,41.91,42.779999,42.779999,10900500
2014-06-16,42.490002000000004,42.77,41.759997999999996,42.529999,42.529999,6974500
2014-06-17,42.580002,44.049999,42.400002,43.919998,43.919998,6882900
2014-06-18,43.82,43.900002,43.009997999999996,43.759997999999996,43.759997999999996,5034900
2014-06-19,44.240002000000004,44.700001,43.130001,43.630001,43.630001,3676700
2014-06-20,43.799999,44.18,43.5,43.66,43.66,4864900
2014-06-23,43.639998999999996,43.66,42.25,43.150002,43.150002,5024000
2014-06-24,43.150002,43.59,41.59,41.790001000000004,41.790001000000004,6871400
2014-06-25,41.580002,42.209998999999996,40.740002000000004,41.810001,41.810001,5060000
2014-06-26,41.490002000000004,42.23,41.040001000000004,41.509997999999996,41.509997999999996,6673100
2014-06-27,41.599998,42.080002,41.040001000000004,41.490002000000004,41.490002000000004,4881500
2014-06-30,41.619999,42.189999,41.0,41.07,41.07,4453000
2014-07-01,41.740002000000004,42.400002,41.310001,42.259997999999996,42.259997999999996,6201000
2014-07-02,40.889998999999996,40.990002000000004,39.220001,39.27,39.27,12841200
2014-07-03,39.549999,40.490002000000004,39.549999,39.880001,39.880001,4290700
2014-07-07,39.869999,40.009997999999996,38.080002,38.619999,38.619999,8454700
2014-07-08,37.439999,39.779999,36.650002,39.540001000000004,39.540001000000004,15925200
2014-07-09,40.549999,40.98,39.240002000000004,40.07,40.07,7504500
2014-07-10,41.599998,45.259997999999996,41.200001,45.169998,45.169998,20815900
2014-07-11,44.959998999999996,45.810001,44.66,45.700001,45.700001,7650600
2014-07-14,45.73,45.830002,44.82,44.919998,44.919998,5269100
2014-07-15,45.240002000000004,45.900002,44.889998999999996,45.220001,45.220001,5158400
